Time,PR,SR,QR,PS,SS,QS,PT,ST,QT
19/02/2025 10:15:00,2305.90,2350.66,467.77,2921.81,2981.66,593.34,1945.30,2027.64,567.74
19/02/2025 10:30:00,2366.70,2413.56,480.29,5840.41,5898.96,832.15,1947.60,2037.12,570.39
19/02/2025 10:45:00,2386.90,2444.41,486.43,2523.16,2573.76,512.17,1972.90,2054.19,575.17
19/02/2025 11:00:00,2313.60,2358.72,469.38,2469.55,2519.28,501.33,1987.90,2064.79,578.14
19/02/2025 11:15:00,2390.00,2449.56,487.46,2424.64,2475.02,492.52,5027.50,5178.14,1258.83
19/02/2025 11:30:00,2314.20,2360.98,469.83,2450.94,2500.74,497.64,6026.20,6157.50,1225.33
19/02/2025 11:45:00,2379.10,2445.82,594.59,2465.21,2514.62,500.40,4148.40,4281.42,1040.83
19/02/2025 12:00:00,2318.30,2370.83,471.79,2489.45,2541.16,505.68,5916.80,6042.27,1202.40
19/02/2025 12:15:00,2353.50,2404.61,478.51,2515.96,2566.18,510.66,4219.20,4345.67,1056.45
19/02/2025 12:30:00,2324.20,2377.59,473.13,2525.88,2576.76,512.77,8367.10,8464.81,1194.11
19/02/2025 12:45:00,2278.70,2329.71,463.61,2535.80,2588.00,515.00,8051.50,8143.41,1148.77
19/02/2025 13:00:00,2291.20,2357.60,573.14,2421.04,2471.12,491.75,7766.30,7843.56,1106.47
19/02/2025 13:15:00,2151.80,2197.50,437.30,2525.02,2576.55,512.73,7552.60,7633.69,1076.86
19/02/2025 13:30:00,2266.70,2327.38,565.80,2420.36,2469.31,491.39,7378.40,7470.30,1053.81
19/02/2025 13:45:00,2198.20,2257.85,548.90,2557.01,2609.19,519.22,7403.10,7519.33,1496.33
19/02/2025 14:00:00,2506.10,2554.65,508.37,5269.79,5322.57,750.84,5512.70,5638.56,1122.06
19/02/2025 14:15:00,2525.50,2573.72,512.16,2448.48,2499.13,497.32,5664.00,5819.41,1414.73
19/02/2025 14:30:00,2167.10,2226.09,541.17,2587.21,2638.88,525.13,7209.10,7352.05,1463.04
19/02/2025 14:45:00,2228.30,2305.71,560.53,2514.89,2566.44,510.72,5625.20,5773.18,1403.49
19/02/2025 15:00:00,2139.80,2201.65,535.23,2455.52,2505.18,498.52,5646.60,5840.52,1419.86
19/02/2025 15:15:00,373.10,392.03,122.41,2500.10,2551.35,507.71,5569.40,5732.13,1393.51
19/02/2025 15:30:00,264.80,311.33,164.00,2250.37,2319.28,563.83,6923.30,7116.15,1729.97
19/02/2025 15:45:00,259.10,305.87,161.13,4905.94,5006.52,996.28,7051.60,7196.59,1432.10
19/02/2025 16:00:00,253.10,298.55,157.27,2487.10,2536.95,504.85,1816.10,1907.73,595.69
19/02/2025 16:15:00,252.20,300.64,163.13,4772.13,4869.06,968.93,7.40,33.08,32.27
19/02/2025 16:30:00,360.60,381.47,119.11,273.89,346.93,212.70,7.90,31.70,30.69
19/02/2025 16:45:00,251.60,297.23,156.58,323.66,426.10,276.93,7.90,32.03,31.01
19/02/2025 17:00:00,366.20,387.72,132.28,274.45,347.17,212.85,7.80,32.23,31.29
19/02/2025 17:15:00,253.80,302.17,163.95,273.84,350.38,219.26,7.80,32.11,31.17
19/02/2025 17:30:00,252.40,296.14,156.00,387.31,516.41,341.57,70.60,110.47,84.89
19/02/2025 17:45:00,252.30,297.18,156.55,702.47,754.89,277.47,70.10,110.10,84.60
19/02/2025 18:00:00,251.90,296.79,156.34,387.83,517.33,342.18,70.10,110.29,84.75
19/02/2025 18:15:00,358.70,378.00,118.03,410.66,546.64,361.57,69.80,110.09,85.49
19/02/2025 18:30:00,250.00,293.60,154.67,370.54,475.74,297.71,70.10,109.04,83.79
19/02/2025 18:45:00,364.80,382.82,119.54,412.87,543.93,353.51,69.80,108.63,83.47
19/02/2025 19:00:00,250.70,293.31,154.51,401.32,535.55,354.23,70.00,109.46,84.11
19/02/2025 19:15:00,252.40,298.55,157.27,411.75,549.23,363.28,69.90,109.74,84.32
19/02/2025 19:30:00,251.50,297.25,156.58,415.89,553.61,366.18,69.90,109.88,84.43
19/02/2025 19:45:00,251.80,298.09,161.74,412.83,549.53,363.48,69.90,109.98,84.50
19/02/2025 20:00:00,362.10,381.60,119.15,409.66,545.52,360.83,69.70,109.86,85.32
19/02/2025 20:15:00,253.20,300.41,163.00,409.18,545.11,360.56,70.00,109.91,84.46
19/02/2025 20:30:00,366.50,386.75,120.76,408.65,545.32,360.70,69.80,110.42,85.75
19/02/2025 20:45:00,252.40,299.23,162.36,412.10,549.00,363.13,69.90,110.42,85.75
19/02/2025 21:00:00,253.50,301.79,163.75,412.10,549.00,363.13,69.80,110.10,85.50
19/02/2025 21:15:00,360.30,382.30,130.43,406.48,550.23,370.09,69.70,110.38,85.72
19/02/2025 21:30:00,253.20,302.94,164.37,415.26,552.99,365.77,69.80,110.85,86.08
19/02/2025 21:45:00,362.60,383.51,119.75,417.53,557.40,368.69,69.80,110.36,85.71
19/02/2025 22:00:00,251.30,300.48,163.04,404.85,540.48,357.50,70.10,110.60,85.89
19/02/2025 22:15:00,251.80,300.83,163.23,766.57,852.89,371.77,69.90,110.75,86.01
19/02/2025 22:30:00,254.30,302.84,164.32,362.15,510.99,359.84,70.30,110.62,84.99
19/02/2025 22:45:00,252.30,299.92,162.73,359.80,507.69,357.52,70.40,111.37,86.49
19/02/2025 23:00:00,361.70,383.46,130.83,683.09,751.12,311.42,70.10,112.08,87.04
19/02/2025 23:15:00,253.70,304.27,169.71,316.93,440.88,305.96,70.30,112.22,87.15
19/02/2025 23:30:00,364.20,384.81,120.16,360.17,515.68,368.27,70.30,112.81,88.51
19/02/2025 23:45:00,251.50,301.24,168.02,314.23,436.89,303.19,70.30,111.15,86.32
20/02/2025 0:00:00,251.10,300.94,167.85,360.64,515.20,367.93,70.10,111.06,86.25
20/02/2025 0:15:00,251.50,301.40,168.11,362.84,511.04,359.88,70.20,111.06,86.25
20/02/2025 0:30:00,252.10,301.46,163.57,318.78,442.75,307.26,70.10,111.62,86.68
20/02/2025 0:45:00,361.30,383.22,130.74,369.86,521.85,367.49,70.00,112.18,88.02
20/02/2025 1:00:00,251.90,301.13,163.39,366.91,516.54,363.75,70.40,111.77,86.80
20/02/2025 1:15:00,366.60,388.04,132.39,319.33,444.21,308.27,70.10,111.96,86.95
20/02/2025 1:30:00,252.30,302.05,163.89,366.38,517.18,364.20,70.30,112.10,87.06
20/02/2025 1:45:00,253.00,302.44,164.10,366.38,516.25,363.55,70.20,112.15,87.10
20/02/2025 2:00:00,253.10,302.24,163.99,688.58,756.22,313.53,70.20,112.43,88.22
20/02/2025 2:15:00,251.80,301.67,168.26,315.30,437.45,303.58,70.30,112.95,88.62
20/02/2025 2:30:00,363.70,384.85,120.17,375.24,528.04,371.85,70.00,112.39,88.18
20/02/2025 2:45:00,252.00,302.27,168.59,318.63,443.01,307.44,70.30,113.41,88.98
20/02/2025 3:00:00,253.10,302.89,164.34,326.29,453.18,314.50,70.40,113.01,88.66
20/02/2025 3:15:00,253.70,303.98,169.55,366.19,522.89,373.42,70.40,113.24,88.85
20/02/2025 3:30:00,253.50,303.05,164.43,319.87,443.57,307.82,70.30,112.68,88.41
20/02/2025 3:45:00,361.90,382.67,119.49,319.60,443.88,308.04,70.10,112.31,88.12
20/02/2025 4:00:00,252.50,302.06,163.90,320.72,444.98,308.80,70.40,112.81,88.51
20/02/2025 4:15:00,365.50,386.27,120.61,368.02,519.26,365.66,70.10,111.92,86.92
20/02/2025 4:30:00,251.30,300.17,162.87,310.88,432.94,300.45,70.30,111.58,86.65
20/02/2025 4:45:00,251.90,300.21,162.89,311.87,432.23,299.96,70.30,111.57,86.65
20/02/2025 5:00:00,252.00,300.64,163.13,366.63,515.92,363.31,70.30,111.83,86.85
20/02/2025 5:15:00,250.50,298.98,162.22,318.46,436.47,298.31,70.30,111.93,86.93
20/02/2025 5:30:00,358.50,378.62,118.22,133.05,180.71,121.55,7.70,30.79,29.82
20/02/2025 5:45:00,250.90,299.16,162.32,129.52,178.97,124.20,7.70,30.78,29.80
20/02/2025 6:00:00,250.10,298.45,161.94,168.28,237.70,167.39,7.70,30.85,29.87
20/02/2025 6:15:00,251.50,301.02,163.33,211.01,288.82,197.40,7.60,30.82,29.84
20/02/2025 6:30:00,250.60,299.56,162.54,211.19,289.08,197.57,7.60,30.87,29.89
20/02/2025 6:45:00,358.30,379.16,129.36,327.80,475.99,344.52,7.40,31.47,30.55
20/02/2025 7:00:00,251.90,300.50,163.05,323.75,475.65,348.75,7.60,31.40,30.48
20/02/2025 7:15:00,376.20,397.25,124.04,318.26,461.70,334.18,4277.80,4517.02,1410.44
20/02/2025 7:30:00,1809.30,1865.53,453.52,2335.76,2408.00,585.40,9478.80,9626.84,1915.72
20/02/2025 7:45:00,2304.00,2355.94,468.83,2501.60,2551.98,507.84,9502.60,9678.49,1925.99
20/02/2025 8:00:00,2308.80,2361.37,469.91,2465.10,2514.96,500.47,9324.40,9508.13,1892.09
20/02/2025 8:15:00,2311.00,2357.50,469.14,2727.66,2784.22,554.05,5469.00,5598.05,1114.00
20/02/2025 8:30:00,2396.10,2453.09,488.16,2787.93,2844.83,566.11,5677.60,5785.73,1151.35
20/02/2025 8:45:00,2298.50,2347.82,467.21,2818.87,2877.08,572.53,5805.30,5940.49,1182.14
20/02/2025 9:00:00,2289.10,2341.62,465.98,2779.97,2837.84,564.72,7336.50,7509.75,1494.42
20/02/2025 9:15:00,2323.80,2377.30,473.08,2718.95,2775.34,552.29,5904.10,6029.81,1199.92
20/02/2025 9:30:00,2362.00,2413.75,480.33,5053.95,5105.89,720.27,7700.30,7825.80,1557.31
20/02/2025 9:45:00,2398.40,2461.04,598.29,2809.46,2867.02,570.53,7653.20,7775.48,1547.30
20/02/2025 10:00:00,2329.40,2378.55,473.32,2800.35,2857.05,568.55,5838.30,5979.73,1189.95
20/02/2025 10:15:00,2502.30,2561.67,509.76,2855.60,2912.76,579.63,5862.70,5967.46,1187.51
20/02/2025 10:30:00,2308.50,2352.21,468.08,2896.37,2954.81,588.00,5957.40,6058.00,1205.53
20/02/2025 10:45:00,251.00,293.28,149.66,2444.37,2494.47,496.39,3716.50,3802.45,756.68
