date,load,temperature
01/01/2019 0:00,1714.28,25.7
01/01/2019 0:01,1654.94,26.6
01/01/2019 0:02,1557.78,26.3
01/01/2019 0:03,1628.57,27.4
01/01/2019 0:04,1624.17,24.2
01/01/2019 0:05,1656.24,25.4
01/01/2019 0:06,1676.33,25.6
01/01/2019 0:07,1600.53,25.6
01/01/2019 0:08,1574.54,27.5
01/01/2019 0:09,1592.54,27.6
01/01/2019 0:10,1728.31,26.9
01/01/2019 0:11,1604.86,24.9
01/01/2019 0:12,1588.19,26.2
01/01/2019 0:13,1635.18,26.8
01/01/2019 0:14,1635.18,26.7
01/01/2019 0:15,1675.93,27.4
01/01/2019 0:16,1603.01,28.4
01/01/2019 0:17,1616.08,27
01/01/2019 0:18,1635.68,27.9
01/01/2019 0:19,1613.9,26.2
01/01/2019 0:20,1646.57,25.9
01/01/2019 0:21,1646.57,26
01/01/2019 0:22,1642.21,25.6
01/01/2019 0:23,1631.32,25.8
01/01/2019 0:24,1644.39,26.8
01/01/2019 0:25,1637.86,27.6
01/01/2019 0:26,1642.21,26.1
01/01/2019 0:27,1618.25,26.6
01/01/2019 0:28,1672.7,25.8
01/01/2019 0:29,1613.9,25.8
01/01/2019 0:30,1611.72,26.8
01/01/2019 0:31,1714.09,25.7
01/01/2019 0:32,1745.32,26.6
01/01/2019 0:33,1677.06,26.3
01/01/2019 0:34,1710.63,27.4
01/01/2019 0:35,1697.62,24.2
01/01/2019 0:36,1652.09,25.4
01/01/2019 0:37,1749.66,25.6
01/01/2019 0:38,1639.08,25.6
01/01/2019 0:39,1732.31,27.5
01/01/2019 0:40,1682.45,27.6
01/01/2019 0:41,1654.26,26.9
01/01/2019 0:42,1636.92,24.9
01/01/2019 0:43,1662.93,26.2
01/01/2019 0:44,1671.61,26.8
01/01/2019 0:45,1717.93,26.7
01/01/2019 0:46,1719.3,27.4
01/01/2019 0:47,1697.62,28.4
01/01/2019 0:48,1726.96,27
01/01/2019 0:49,1714.81,27.9
01/01/2019 0:50,1659.01,26.2
01/01/2019 0:51,1646.14,25.9
01/01/2019 0:52,1751.3,26
01/01/2019 0:53,1691.21,25.6
01/01/2019 0:54,1729.84,25.8
01/01/2019 0:55,1646.14,26.8
01/01/2019 0:56,1714.81,27.6
01/01/2019 0:57,1699.79,26.1
01/01/2019 0:58,1699.79,26.6
01/01/2019 0:59,1680.47,25.8
01/01/2019 1:00,1693.35,25.8
01/01/2019 1:01,1772.76,26.8
01/01/2019 1:02,1787.78,25.7
01/01/2019 1:03,1692.46,26.6
01/01/2019 1:04,1767.92,26.3
01/01/2019 1:05,1651.5,27.4
01/01/2019 1:06,1649.34,24.2
01/01/2019 1:07,1651.5,25.4
01/01/2019 1:08,1716.18,25.6
01/01/2019 1:09,1655.81,25.6
01/01/2019 1:10,1716.18,27.5
01/01/2019 1:11,1654.35,27.6
01/01/2019 1:12,1645.61,26.9
01/01/2019 1:13,1674.94,24.9
01/01/2019 1:14,1670.55,26.2
01/01/2019 1:15,1647.79,26.8
01/01/2019 1:16,1652.99,26.7
